time,can1_AB_Gurtschloss_Reihe2_BF [],can1_AB_Gurtschloss_FA [],can1_AB_Gurtschloss_BF [],can1_AB_Gurtschloss_Reihe2_FA [],can1_AB_Gurtschloss_Reihe2_MI []
0.0,3,3,3,2,2
0.19988417625427246,3,3,3,2,2
0.399874210357666,3,3,3,2,2
0.5995640754699707,3,3,3,2,2
0.7995059490203857,3,3,3,2,2
0.9991331100463867,3,3,3,2,2
1.2000460624694824,3,3,3,2,2
1.398881196975708,3,3,3,2,2
1.6000032424926758,3,3,3,2,2
1.8000071048736572,3,3,3,2,2
1.9996302127838135,3,3,3,2,2
2.199873208999634,3,3,3,2,2
2.399268865585327,3,3,3,2,2
2.5990102291107178,3,3,3,2,2
2.8000571727752686,3,3,3,2,2
2.999013900756836,3,3,3,2,2
3.200145959854126,3,3,3,2,2
3.3991429805755615,3,3,3,2,2
3.5997629165649414,3,3,3,2,2
3.7996301651000977,3,3,3,2,2
3.999636173248291,3,3,3,2,2
4.200999021530151,3,3,3,2,2
4.399878978729248,3,3,3,2,2
4.599747896194458,3,3,3,2,2
4.799512147903442,3,3,3,2,2
5.000380039215088,3,3,3,2,2
5.200377941131592,3,3,3,2,2
5.399386882781982,3,3,3,2,2
5.600500106811523,3,3,3,2,2
5.800498008728027,3,3,3,2,2
6.000377178192139,3,3,3,2,2
6.201180934906006,3,3,3,2,2
6.400131940841675,3,3,3,2,2
6.600135087966919,3,3,3,2,2
6.800261974334717,3,3,3,2,2
7.000626087188721,3,3,3,2,2
7.201388120651245,3,3,3,2,2
7.4002509117126465,3,3,3,2,2
7.600382089614868,3,3,3,2,2
7.800293922424316,3,3,3,2,2
8.00037407875061,3,3,3,2,2
8.201517105102539,3,3,3,2,2
8.400382995605469,3,3,3,2,2
8.60025405883789,3,3,3,2,2
8.800258159637451,3,3,3,2,2
9.000257015228271,3,3,3,2,2
9.201426029205322,3,3,3,2,2
9.40124797821045,3,3,3,2,2
9.601253032684326,3,3,3,2,2
9.801265001296997,3,3,3,2,2
10.001258134841919,3,3,3,2,2
10.202255964279175,3,3,3,2,2
10.401124000549316,3,3,3,2,2
10.601124048233032,3,3,3,2,2
10.801634073257446,3,3,3,2,2
11.000756978988647,3,3,3,2,2
11.202636003494263,3,3,3,2,2
11.400882959365845,3,3,3,2,2
11.601389169692993,3,3,3,2,2
11.801262855529785,3,3,3,2,2
12.001255989074707,3,3,3,2,2
12.202282190322876,3,3,3,2,2
12.401288986206055,3,3,3,2,2
12.60129427909851,3,3,3,2,2
12.802137851715088,3,3,3,2,2
13.001196146011353,3,3,3,2,2
13.202346086502075,3,3,3,2,2
13.402267932891846,3,3,3,2,2
13.602126121520996,3,3,3,2,2
13.80174207687378,3,3,3,2,2
14.002122163772583,3,3,3,2,2
14.2032630443573,3,3,3,2,2
14.402427911758423,3,3,3,2,2
14.602122068405151,3,3,3,2,2
14.802158117294312,3,3,3,2,2
15.002120018005371,3,3,3,2,2
15.203131914138794,3,3,3,2,2
15.402124166488647,3,3,3,2,2
15.602126121520996,3,3,3,2,2
15.802136182785034,3,3,3,2,2
16.00217604637146,3,3,3,2,2
16.203135013580322,3,3,3,2,2
16.40212321281433,3,3,3,2,2
16.602155208587646,3,3,3,2,2
16.803163051605225,3,3,3,2,2
17.0021231174469,3,3,3,2,2
17.204506874084473,3,3,3,2,2
17.402252197265625,3,3,3,2,2
17.60312294960022,3,3,3,2,2
17.80320382118225,3,3,3,2,2
18.002390146255493,3,3,3,2,2
18.20401406288147,3,3,3,2,2
18.40275526046753,3,3,3,2,2
18.60329294204712,3,3,3,2,2
18.803505897521973,3,3,3,2,2
19.003008127212524,3,3,3,2,2
19.20400595664978,3,3,3,2,2
19.402878046035767,3,3,3,2,2
19.60362720489502,3,3,3,2,2
19.803003072738647,3,3,3,2,2
20.003001928329468,3,3,3,2,2
20.204010009765625,3,3,3,2,2
20.4031720161438,3,3,3,2,2
20.60342502593994,3,3,3,2,2
20.804136991500854,3,3,3,2,2
21.003180027008057,3,3,3,2,2
21.20500898361206,3,3,3,2,2
21.40325403213501,3,3,3,2,2
21.60337495803833,3,3,3,2,2
21.80438995361328,3,3,3,2,2
22.00476598739624,3,3,3,2,2
22.20525288581848,3,3,3,2,2
22.403752088546753,3,3,3,2,2
22.603769063949585,3,3,3,2,2
22.804392099380493,3,3,3,2,2
23.0036301612854,3,3,3,2,2
23.20513415336609,3,3,3,2,2
23.404755115509033,3,3,3,2,2
23.604791164398193,3,3,3,2,2
23.804420948028564,3,3,3,2,2
24.00489616394043,3,3,3,2,2
24.20588707923889,3,3,3,2,2
24.40500807762146,3,3,3,2,2
24.60500693321228,3,3,3,2,2
24.804569959640503,3,3,3,2,2
25.005274057388306,3,3,3,2,2
25.206001043319702,3,3,3,2,2
25.40425705909729,3,3,3,2,2
25.60551619529724,3,3,3,2,2
25.80440402030945,3,3,3,2,2
26.004390954971313,3,3,3,2,2
26.205881118774414,3,3,3,2,2
26.40451407432556,3,3,3,2,2
26.60451316833496,3,3,3,2,2
26.805016040802002,3,3,3,2,2
27.00466799736023,3,3,3,2,2
27.206504106521606,3,3,3,2,2
27.404645919799805,3,3,3,2,2
27.604771852493286,3,3,3,2,2
27.804769039154053,3,3,3,2,2
28.005889177322388,3,3,3,2,2
28.206384897232056,3,3,3,2,2
28.404887199401855,3,3,3,2,2
28.60501194000244,3,3,3,2,2
28.8060040473938,3,3,3,2,2
29.005146026611328,3,3,3,2,2
29.207258939743042,3,3,3,2,2
29.405148029327393,3,3,3,2,2
29.606252193450928,3,3,3,2,2
29.80529808998108,3,3,3,2,2
30.00625491142273,3,3,3,2,2
30.207380056381226,3,3,3,2,2
30.406627893447876,3,3,3,2,2
30.606507062911987,3,3,3,2,2
30.806504011154175,3,3,3,2,2
31.006635189056396,3,3,3,2,2
31.207264184951782,3,3,3,2,2
31.4065101146698,3,3,3,2,2
31.606627225875854,3,3,3,2,2
31.806632041931152,3,3,3,2,2
32.00663089752197,3,3,3,2,2
32.207130908966064,3,3,3,2,2
32.40676307678223,3,3,3,2,2
32.60663294792175,3,3,3,2,2
32.80663204193115,3,3,3,2,2
33.00663089752197,3,3,3,2,2
33.207640171051025,3,3,3,2,2
33.4067599773407,3,3,3,2,2
33.606760025024414,3,3,3,2,2
33.80664396286011,3,3,3,2,2
34.00713086128235,3,3,3,2,2
