time,can0_MO_Drehzahl_01 [Unit_MinutInver]
0.0,887.5
0.010251045227050781,886.5
0.020041942596435547,885.0
0.029397010803222656,884.5
0.040383100509643555,883.5
0.0492548942565918,882.0
0.06064009666442871,880.0
0.06937718391418457,878.5
0.08038091659545898,877.5
0.08964204788208008,876.5
0.10001206398010254,876.0
0.11089587211608887,874.0
0.12001204490661621,872.5
0.12969613075256348,870.0
0.13953423500061035,869.5
0.14940118789672852,869.5
0.16026711463928223,869.0
0.1694180965423584,868.5
0.1805582046508789,867.5
0.1895589828491211,866.0
0.2000598907470703,864.5
0.21025514602661133,863.5
0.2200009822845459,862.5
0.2296309471130371,862.0
0.23939108848571777,862.0
0.2498180866241455,861.5
0.2600362300872803,861.0
0.2695019245147705,859.5
0.2800581455230713,859.0
0.29013824462890625,859.5
0.3001730442047119,860.5
0.3103799819946289,862.0
0.3202509880065918,862.5
0.3292500972747803,863.5
0.34050703048706055,863.5
0.3505101203918457,863.5
0.3600020408630371,865.0
0.3695061206817627,866.5
0.3800089359283447,867.5
0.39000701904296875,868.0
0.40000009536743164,868.0
0.4104158878326416,867.5
0.42005300521850586,868.5
0.4293792247772217,870.0
0.4413790702819824,871.0
0.44994401931762695,872.0
0.46004199981689453,872.5
0.4695611000061035,873.0
0.48006200790405273,873.5
0.48979997634887695,874.5
0.5000519752502441,876.0
0.5110530853271484,878.0
0.5200400352478027,879.0
0.5292890071868896,878.5
0.5405042171478271,878.5
0.5494332313537598,878.5
0.5605080127716064,879.5
0.5693068504333496,881.0
0.580045223236084,883.0
0.5895371437072754,883.5
0.6000180244445801,883.5
0.6104230880737305,884.5
0.6200590133666992,884.5
0.6293811798095703,885.0
0.6406300067901611,886.0
0.6501870155334473,887.5
0.6601650714874268,888.0
0.6695349216461182,889.0
0.6806721687316895,889.5
0.6895029544830322,890.0
0.7000570297241211,891.0
0.7106711864471436,891.5
0.7200040817260742,893.0
0.7295370101928711,894.0
0.7404041290283203,895.5
0.7494370937347412,896.5
0.7600030899047852,897.0
0.7694342136383057,897.5
0.7806479930877686,899.5
0.7900080680847168,900.5
0.8000400066375732,901.0
0.8105430603027344,902.0
0.8200058937072754,902.0
0.8296329975128174,902.5
0.8398258686065674,902.5
0.8493771553039551,903.5
0.8600471019744873,904.0
0.8695380687713623,904.5
0.8806641101837158,905.5
0.8904168605804443,905.5
0.9001789093017578,906.0
0.9107048511505127,907.5
0.9199941158294678,909.0
0.9292778968811035,910.5
0.9405078887939453,912.5
0.9496262073516846,914.5
0.9608790874481201,916.5
0.9692521095275879,920.5
0.9800550937652588,928.5
0.989422082901001,936.5
1.0000460147857666,945.0
1.0103869438171387,957.0
1.0198771953582764,963.0
1.0293970108032227,970.0
1.0405189990997314,982.0
1.049753189086914,989.5
1.0599291324615479,996.0
1.0710101127624512,1005.5
1.079437017440796,1010.5
1.0903820991516113,1015.0
1.1000051498413086,1019.0
1.1103980541229248,1021.5
1.1200110912322998,1023.5
1.1292550563812256,1026.5
1.1395158767700195,1027.0
1.1496460437774658,1027.0
1.1600069999694824,1028.0
1.1692521572113037,1028.5
1.1800141334533691,1028.5
1.1894299983978271,1029.0
1.2004151344299316,1030.0
1.2102761268615723,1031.5
1.2200429439544678,1033.5
1.2298271656036377,1035.0
1.2405130863189697,1036.5
1.249920129776001,1037.5
1.2598860263824463,1038.5
1.2693829536437988,1040.0
1.280043125152588,1041.5
1.2902579307556152,1042.0
1.3000152111053467,1042.5
1.3103840351104736,1043.5
1.3200130462646484,1045.0
1.3308851718902588,1048.5
1.3396480083465576,1051.5
1.3498780727386475,1053.5
1.3601441383361816,1054.5
1.3692960739135742,1054.5
1.380007028579712,1055.0
1.3893790245056152,1057.0
1.4000530242919922,1058.5
1.4102542400360107,1061.0
1.420044183731079,1062.5
1.4308810234069824,1065.5
1.4395132064819336,1067.0
1.4501419067382812,1069.0
1.4600589275360107,1070.0
1.4694271087646484,1071.5
1.480046033859253,1073.5
1.4901251792907715,1075.5
1.500519037246704,1078.0
1.5103769302368164,1079.5
1.5200169086456299,1081.0
1.5292510986328125,1082.5
1.540511131286621,1085.0
1.5501279830932617,1087.5
1.5598771572113037,1090.0
1.5692570209503174,1092.5
1.5800321102142334,1094.0
1.589379072189331,1095.5
1.6000020503997803,1096.5
1.610044002532959,1099.0
1.6200451850891113,1100.0
1.6293749809265137,1101.0
1.639559030532837,1101.0
1.6497540473937988,1101.5
1.6604290008544922,1101.5
1.669374942779541,1101.0
1.6799991130828857,1100.0
1.6905012130737305,1098.0
1.7000000476837158,1096.0
1.7103681564331055,1093.5
1.7200350761413574,1090.5
1.7293119430541992,1086.5
1.7395501136779785,1082.5
1.7504310607910156,1076.5
1.7603800296783447,1071.5
1.7692549228668213,1066.0
1.780001163482666,1059.5
1.7908859252929688,1052.5
1.800126075744629,1045.5
1.8102540969848633,1038.0
1.8200490474700928,1031.5
1.8294999599456787,1024.5
1.8405179977416992,1017.5
1.849632978439331,1010.0
1.860004186630249,1003.5
1.8693780899047852,996.0
1.8800530433654785,989.5
1.890254020690918,983.0
1.9000251293182373,977.5
1.9105448722839355,973.5
1.9200420379638672,968.5
1.929286003112793,963.5
1.9406399726867676,960.5
1.9496839046478271,957.5
1.9600510597229004,955.5
1.9693849086761475,956.5
1.9800009727478027,957.5
1.9906399250030518,957.5
2.000124931335449,960.5
2.0104100704193115,964.0
2.0200629234313965,968.0
2.029632091522217,970.5
2.0395169258117676,972.5
2.05106520652771,974.5
2.060006856918335,974.5
2.0695009231567383,974.5
2.0808372497558594,973.5
