time,can0_ESP_Querbeschleunigung [Unit_ForceOfGravi],can0_ESP_Laengsbeschl [Unit_MeterPerSeconSquar],can0_ESP_Gierrate [Unit_DegreOfArcPerSecon],can0_ESP_VZ_Gierrate []
0.0,0.32000000000000006,-2.53125,18.37,0
0.01912975311279297,0.33000000000000007,-2.53125,19.16,0
0.039000749588012695,0.3400000000000001,-2.53125,19.96,0
0.05912280082702637,0.3500000000000001,-2.53125,20.81,0
0.07939577102661133,0.3500000000000001,-2.4375,21.73,0
0.09964179992675781,0.3500000000000001,-2.4375,22.66,0
0.11938095092773438,0.3400000000000001,-2.4375,23.54,0
0.13915491104125977,0.3400000000000001,-2.34375,24.42,0
0.15918588638305664,0.33000000000000007,-2.34375,25.14,0
0.17929291725158691,0.32000000000000006,-2.34375,25.76,0
0.20000696182250977,0.32000000000000006,-2.34375,26.240000000000002,0
0.21938085556030273,0.32000000000000006,-2.4375,26.63,0
0.23967289924621582,0.31000000000000005,-2.4375,26.89,0
0.25925779342651367,0.31000000000000005,-2.53125,27.05,0
0.27987003326416016,0.32000000000000006,-2.53125,27.2,0
0.29912495613098145,0.32000000000000006,-2.53125,27.43,0
0.319011926651001,0.32000000000000006,-2.4375,27.740000000000002,0
0.33925580978393555,0.32000000000000006,-2.25,28.12,0
0.35930299758911133,0.32000000000000006,-2.15625,28.53,0
0.37975192070007324,0.32000000000000006,-1.9375,29.1,0
0.39916181564331055,0.31000000000000005,-1.75,29.73,0
0.4191858768463135,0.30000000000000004,-1.65625,30.37,0
0.43962788581848145,0.29000000000000004,-1.5625,30.89,0
0.45925307273864746,0.29000000000000004,-1.46875,31.28,0
0.47950172424316406,0.28,-1.46875,31.63,0
0.499798059463501,0.28,-1.34375,31.93,0
0.5191690921783447,0.27,-1.34375,32.21,0
0.5391359329223633,0.28,-1.34375,32.43,0
0.5591859817504883,0.27,-1.34375,32.67,0
0.5792508125305176,0.27,-1.34375,32.97,0
0.5991697311401367,0.28,-1.34375,33.26,0
0.6192538738250732,0.29000000000000004,-1.34375,33.660000000000004,0
0.6398746967315674,0.29000000000000004,-1.25,34.04,0
0.6592528820037842,0.29000000000000004,-1.25,34.36,0
0.6792550086975098,0.29000000000000004,-1.25,34.61,0
0.6994178295135498,0.28,-1.34375,34.84,0
0.7194387912750244,0.27,-1.34375,35.01,0
0.7391679286956787,0.27,-1.34375,35.24,0
0.7591259479522705,0.26,-1.34375,35.4,0
0.7797520160675049,0.25,-1.25,35.49,0
0.7992899417877197,0.25,-1.25,35.550000000000004,0
0.8193778991699219,0.22999999999999998,-1.25,35.62,0
0.8391318321228027,0.21999999999999997,-1.25,35.65,0
0.8592977523803711,0.21999999999999997,-1.25,35.62,0
0.8791618347167969,0.21999999999999997,-1.25,35.56,0
0.8994519710540771,0.21999999999999997,-1.25,35.47,0
0.9200119972229004,0.20999999999999996,-1.34375,35.37,0
0.9393777847290039,0.19999999999999996,-1.46875,35.14,0
0.9591238498687744,0.17999999999999994,-1.5625,35.0,0
0.9791238307952881,0.15999999999999992,-1.75,34.67,0
0.9991369247436523,0.1399999999999999,-1.9375,34.21,0
1.0191428661346436,0.1499999999999999,-2.03125,33.94,0
1.039505958557129,0.16999999999999993,-2.15625,33.9,0
1.0597538948059082,0.16999999999999993,-2.15625,34.29,0
1.0800068378448486,0.16999999999999993,-2.15625,34.65,0
1.0991528034210205,0.16999999999999993,-2.15625,35.06,0
1.1200048923492432,0.17999999999999994,-2.25,35.4,0
1.139577865600586,0.19999999999999996,-2.25,35.49,0
1.159005880355835,0.20999999999999996,-2.34375,35.45,0
1.1791307926177979,0.21999999999999997,-2.34375,35.27,0
1.2000069618225098,0.20999999999999996,-2.4375,34.87,0
1.2195048332214355,0.21999999999999997,-2.53125,34.37,0
1.239628791809082,0.22999999999999998,-2.625,33.89,0
1.2591369152069092,0.19999999999999996,-2.625,33.47,0
1.2800047397613525,0.16999999999999993,-2.625,32.99,0
1.30023193359375,0.1499999999999999,-2.84375,32.54,0
1.3196308612823486,0.18999999999999995,-2.84375,32.17,0
1.3396286964416504,0.24,-2.84375,32.09,0
1.3590028285980225,0.26,-2.9375,32.11,0
1.3791286945343018,0.26,-2.9375,32.05,0
1.400001049041748,0.26,-2.9375,32.02,0
1.419625997543335,0.26,-2.9375,32.15,0
1.4398789405822754,0.24,-2.84375,32.410000000000004,0
1.4591848850250244,0.21999999999999997,-2.84375,32.77,0
1.4798808097839355,0.21999999999999997,-2.84375,33.15,0
1.5001280307769775,0.19999999999999996,-2.71875,33.54,0
1.5190370082855225,0.17999999999999994,-2.625,33.77,0
1.5398738384246826,0.1499999999999999,-2.625,33.86,0
1.5591340065002441,0.13000000000000012,-2.53125,33.8,0
1.5791277885437012,0.1200000000000001,-2.53125,33.57,0
1.5998847484588623,0.1100000000000001,-2.4375,33.17,0
1.6191318035125732,0.10000000000000009,-2.4375,32.730000000000004,0
1.6395149230957031,0.09000000000000008,-2.34375,32.24,0
1.6591248512268066,0.08000000000000007,-2.34375,31.79,0
1.6792478561401367,0.09000000000000008,-2.25,31.330000000000002,0
1.7001359462738037,0.09000000000000008,-2.15625,30.970000000000002,0
1.7191638946533203,0.10000000000000009,-2.03125,30.64,0
1.7391788959503174,0.1100000000000001,-1.84375,30.42,0
1.7591297626495361,0.1200000000000001,-1.75,30.21,0
1.7796308994293213,0.13000000000000012,-1.65625,30.080000000000002,0
1.8000109195709229,0.13000000000000012,-1.5625,29.97,0
1.8192567825317383,0.13000000000000012,-1.46875,29.830000000000002,0
