time,can0_KBI_Kilometerstand_2 [Unit_KiloMeter],can0_KBI_Aussen_Temp_gef [Unit_DegreCelsi]
0.0,133647,9.0
0.9999191761016846,133647,9.0
1.9997692108154297,133647,9.0
3.000007152557373,133647,9.0
4.0,133647,9.0
4.99988317489624,133647,9.0
6.000261068344116,133647,9.0
7.000627279281616,133647,9.0
8.001760959625244,133647,9.0
9.000137329101562,133647,9.0
10.000388145446777,133647,9.0
11.00138521194458,133647,9.0
12.001516103744507,133647,9.0
13.001173973083496,133647,9.0
14.000505208969116,133647,9.0
15.000636100769043,133647,9.0
16.000758171081543,133647,9.0
17.00076699256897,133647,9.0
18.00175404548645,133647,9.0
19.00075626373291,133647,9.0
20.00137710571289,133647,9.0
21.001135110855103,133647,9.0
22.00088906288147,133647,9.0
23.001012325286865,133647,9.0
24.000760078430176,133647,9.0
25.000638961791992,133647,9.0
26.00113320350647,133647,9.0
27.000766277313232,133647,9.0
28.001387119293213,133647,9.0
29.00143003463745,133647,9.0
30.00138807296753,133647,9.0
31.001392126083374,133647,9.0
32.00162935256958,133647,9.0
33.00188112258911,133647,9.0
34.002131938934326,133647,9.0
35.001636028289795,133647,9.0
36.00175714492798,133647,9.0
37.001755237579346,133647,9.0
38.00175619125366,133647,9.0
39.00200605392456,133647,9.0
40.00287413597107,133647,9.0
41.001891136169434,133647,9.0
42.00200915336609,133647,9.0
43.002124071121216,133647,9.0
44.002259254455566,133647,9.0
45.0027551651001,133647,9.0
46.00188899040222,133647,9.0
47.00227212905884,133647,9.0
48.00213122367859,133647,9.0
49.002384185791016,133647,9.0
50.002387285232544,133647,9.0
51.00250816345215,133647,9.0
52.002403020858765,133647,9.0
53.00290298461914,133647,9.0
54.002543210983276,133647,9.0
55.0027711391449,133647,9.0
56.00263500213623,133647,9.0
57.00324606895447,133647,9.0
58.00288105010986,133647,9.0
59.00313115119934,133647,9.0
60.00325298309326,133647,9.0
61.00314116477966,133647,9.0
62.002883195877075,133647,9.0
63.002891063690186,133647,9.0
64.00288009643555,133647,9.0
65.00387620925903,133647,9.0
66.00391912460327,133647,9.0
67.00375318527222,133647,9.0
68.00375509262085,133647,9.0
69.0037522315979,133647,9.0
70.00375509262085,133647,9.0
71.00376319885254,133647,9.0
72.00362920761108,133647,9.0
73.00363206863403,133647,9.0
74.00425434112549,133647,9.0
75.003897190094,133647,9.0
76.00449991226196,133647,9.0
77.00401520729065,133647,8.5
78.00401711463928,133647,8.5
79.00475215911865,133647,8.5
80.00388407707214,133647,8.5
81.00388503074646,133647,8.5
82.0048942565918,133647,8.5
83.00450611114502,133647,8.5
84.00439715385437,133647,8.5
85.00487494468689,133647,8.5
86.00500202178955,133647,8.5
87.00488495826721,133647,8.5
88.00502228736877,133647,8.5
89.00525617599487,133647,8.5
90.00502014160156,133647,8.5
91.00513100624084,133647,8.5
92.00550818443298,133647,8.5
93.00500512123108,133648,8.5
94.00501418113708,133648,8.5
95.00601315498352,133648,8.5
96.00500297546387,133648,8.5
97.00526309013367,133648,8.5
98.00500917434692,133648,8.5
99.00512933731079,133648,8.5
100.00613498687744,133648,8.5
101.00538921356201,133648,8.5
102.0055091381073,133648,8.5
103.00612115859985,133648,8.5
104.00613021850586,133648,8.5
105.00538516044617,133648,8.5
106.00550818443298,133648,8.5
107.00627112388611,133648,8.5
108.00625514984131,133648,8.5
109.00611710548401,133648,8.5
110.00638222694397,133648,8.5
111.00638723373413,133648,8.5
112.00650906562805,133648,8.5
113.00563931465149,133648,8.5
114.00662922859192,133648,8.5
115.00651621818542,133648,8.5
116.00649905204773,133648,8.5
117.00676131248474,133648,8.5
118.0067629814148,133648,8.5
119.00675415992737,133648,8.5
120.00675106048584,133648,8.5
121.00675201416016,133648,8.5
122.00676131248474,133648,8.5
123.00650715827942,133648,8.5
124.00675821304321,133648,8.5
125.00700521469116,133648,8.5
126.00725030899048,133648,8.5
127.00689196586609,133648,8.5
128.00713324546814,133648,8.5
129.00749802589417,133648,8.5
130.00750422477722,133648,8.5
131.00769209861755,133648,8.5
132.00763535499573,133648,8.5
133.00750207901,133648,8.5
134.00800728797913,133648,8.5
135.00725603103638,133648,8.5
136.00826025009155,133648,8.5
137.00751113891602,133648,8.5
138.00751733779907,133648,8.5
139.00850200653076,133648,8.5
140.00863099098206,133648,8.5
141.00800824165344,133648,8.5
142.00801730155945,133648,8.5
143.00900411605835,133648,8.5
144.00900197029114,133648,8.5
145.00800919532776,133648,8.5
146.00899505615234,133648,8.5
147.00900411605835,133648,8.5
148.00912404060364,133648,8.5
149.00913095474243,133648,8.5
