time,can1_LV_Nebellicht_Anzeige [],can1_LV_Nebelschlusslicht_Anzeige [],can1_LV_Tagfahrlicht_Anzeige [],can1_LV_Standlicht_Anzeige [],can1_LV_Abblendlicht_Anzeige [],can1_LV_Fernlicht_Anzeige []
0.0,0,0,0,1,1,0
0.9999659061431885,0,0,0,1,1,0
1.9999499320983887,0,0,0,1,1,0
3.000328779220581,0,0,0,1,1,0
3.9990880489349365,0,0,0,1,1,0
4.999590873718262,0,0,0,1,1,0
6.000210762023926,0,0,0,1,1,0
7.0004589557647705,0,0,0,1,1,0
7.999600887298584,0,0,0,1,1,0
8.999504804611206,0,0,0,1,1,0
9.999330043792725,0,0,0,1,1,0
10.999742984771729,0,0,0,1,1,0
11.99922776222229,0,0,0,1,1,0
12.999338865280151,0,0,0,1,1,0
13.99925184249878,0,0,0,1,1,0
14.99921202659607,0,0,0,1,1,0
16.000205993652344,0,0,0,1,1,0
16.99959087371826,0,0,0,1,1,0
18.00026798248291,0,0,0,1,1,0
19.00010108947754,0,0,0,1,1,0
19.999097108840942,0,0,0,1,1,0
21.000087022781372,0,0,0,1,1,0
21.99934411048889,0,0,0,1,1,0
23.000203847885132,0,0,0,1,1,0
23.999963760375977,0,0,0,1,1,0
24.999994039535522,0,0,0,1,1,0
25.999958038330078,0,0,0,1,1,0
27.00058102607727,0,0,0,1,1,0
28.00033688545227,0,0,0,1,1,0
29.000335931777954,0,0,0,1,1,0
30.000389099121094,0,0,0,1,1,0
31.00122594833374,0,0,0,1,1,0
32.001121044158936,0,0,0,1,1,0
33.001715898513794,0,0,0,1,1,0
34.00033688545227,0,0,0,1,1,0
35.00072479248047,0,0,0,1,1,0
36.00071597099304,0,0,0,1,1,0
37.000470876693726,0,0,0,1,1,0
38.000706911087036,0,0,0,1,1,0
39.00096678733826,0,0,0,1,1,0
40.00083875656128,0,0,0,1,1,0
41.00100588798523,0,0,0,1,1,0
42.00108885765076,0,0,0,1,1,0
43.00089478492737,0,0,0,1,1,0
44.00071597099304,0,0,0,1,1,0
45.00108575820923,0,0,0,1,1,0
46.00200700759888,0,0,0,1,1,0
47.00174880027771,0,0,0,1,1,0
48.00221586227417,0,0,0,1,1,0
49.00159192085266,0,0,0,1,1,0
50.001452922821045,0,0,0,1,1,0
51.001396894454956,0,0,0,1,1,0
52.00196385383606,0,0,0,1,1,0
53.00212597846985,0,0,0,1,1,0
54.00184178352356,0,0,0,1,1,0
55.001890897750854,0,0,0,1,1,0
56.001590967178345,0,0,0,1,1,0
57.00159573554993,0,0,0,1,1,0
58.00171375274658,0,0,0,1,1,0
59.00200295448303,0,0,0,1,1,0
60.00197386741638,0,0,0,1,1,0
61.00299906730652,0,0,0,1,1,0
62.003015756607056,0,0,0,1,1,0
63.00209093093872,0,0,0,1,1,0
64.00310897827148,0,0,0,1,1,0
65.00220894813538,0,0,0,1,1,0
66.00339078903198,0,0,0,1,1,0
67.00237488746643,0,0,0,1,1,0
68.00336289405823,0,0,0,1,1,0
69.00246810913086,0,0,0,1,1,0
70.00348901748657,0,0,0,1,1,0
71.00375080108643,0,0,0,1,1,0
72.0037407875061,0,0,0,1,1,0
73.00376296043396,0,0,0,1,1,0
74.0037009716034,0,0,0,1,1,0
75.00388288497925,0,0,0,1,1,0
76.00383591651917,0,0,0,1,1,0
77.00408911705017,0,0,0,1,1,0
78.00411987304688,0,0,0,1,1,0
79.0035891532898,0,0,0,1,1,0
80.00360083580017,0,0,0,1,1,0
81.00413990020752,0,0,0,1,1,0
82.00420093536377,0,0,0,1,1,0
83.00445890426636,0,0,0,1,1,0
84.0043740272522,0,0,0,1,1,0
85.00451397895813,0,0,0,1,1,0
86.00462198257446,0,0,0,1,1,0
87.00463891029358,0,0,0,1,1,0
88.00462985038757,0,0,0,1,1,0
89.00488996505737,0,0,0,1,1,0
90.00438809394836,0,0,0,1,1,0
91.00445675849915,0,0,0,1,1,0
92.00483083724976,0,0,0,1,1,0
93.00526309013367,0,0,0,1,1,0
94.00545406341553,0,0,0,1,1,0
95.00585293769836,0,0,0,1,1,0
96.00626993179321,0,0,0,1,1,0
97.00512194633484,0,0,0,1,1,0
98.00526309013367,0,0,0,1,1,0
99.00634384155273,0,0,0,1,1,0
100.00597381591797,0,0,0,1,1,0
101.0062038898468,0,0,0,1,1,0
102.00611782073975,0,0,0,1,1,0
103.00595784187317,0,0,0,1,1,0
104.00638198852539,0,0,0,1,1,0
105.00572276115417,0,0,0,1,1,0
106.0057258605957,0,0,0,1,1,0
107.00651597976685,0,0,0,1,1,0
108.0060179233551,0,0,0,1,1,0
109.00598502159119,0,0,0,1,1,0
110.00613975524902,0,0,0,1,1,0
111.0058798789978,0,0,0,1,1,0
112.00608682632446,0,0,0,1,1,0
113.00571894645691,0,0,0,1,1,0
114.00696086883545,0,0,0,1,1,0
115.00601100921631,0,0,0,1,1,0
116.00683903694153,0,0,0,1,1,0
117.00610089302063,0,0,0,1,1,0
118.00595593452454,0,0,0,1,1,0
119.00614500045776,0,0,0,1,1,0
120.00609302520752,0,0,0,1,1,0
121.00610184669495,0,0,0,1,1,0
122.00608777999878,0,0,0,1,1,0
123.00599789619446,0,0,0,1,1,0
124.0059769153595,0,0,0,1,1,0
125.00598382949829,0,0,0,1,1,0
126.0059928894043,0,0,0,1,1,0
127.00682783126831,0,0,0,1,1,0
128.00683283805847,0,0,0,1,1,0
129.00683283805847,0,0,0,1,1,0
130.00672793388367,0,0,0,1,1,0
131.0068700313568,0,0,0,1,1,0
132.00688576698303,0,0,0,1,1,0
133.00699377059937,0,0,0,1,1,0
134.0067687034607,0,0,0,1,1,0
135.00675773620605,0,0,0,1,1,0
136.00701785087585,0,0,0,1,1,0
137.00758600234985,0,0,0,1,1,0
138.00758695602417,0,0,0,1,1,0
139.00695896148682,0,0,0,1,1,0
140.00709915161133,0,0,0,1,1,0
141.0070219039917,0,0,0,1,1,0
142.00708889961243,0,0,0,1,1,0
143.00747108459473,0,0,0,1,1,0
144.00846099853516,0,0,0,1,1,0
145.0072660446167,0,0,0,1,1,0
146.0073368549347,0,0,0,1,1,0
147.00711798667908,0,0,0,1,1,0
148.0077178478241,0,0,0,1,1,0
149.00796389579773,0,0,0,1,1,0
