time,can0_MO_Gangposition [],can0_MO_Kuppl_schalter []
0.0,2,0
0.10000991821289062,2,0
0.2000570297241211,2,0
0.3001730442047119,2,0
0.34050512313842773,2,0
0.34937000274658203,2,0
0.44994091987609863,2,0
0.5503790378570557,2,0
0.6501851081848145,2,0
0.7504129409790039,2,0
0.8199939727783203,2,0
0.9199910163879395,2,0
1.0198760032653809,2,0
1.1200110912322998,2,0
1.2092630863189697,1,0
1.3103830814361572,1,0
1.4102530479431152,1,0
1.5103790760040283,1,0
1.6111390590667725,1,0
1.7113850116729736,1,0
1.8112602233886719,1,0
1.9115040302276611,1,0
2.0113792419433594,1,0
2.112138271331787,1,0
2.210391044616699,1,0
2.312000036239624,1,0
2.410521984100342,1,0
2.5105130672454834,1,0
2.610551118850708,1,0
2.711754322052002,1,0
2.810500144958496,1,0
2.9115371704101562,1,0
2.969508171081543,1,0
3.0696351528167725,1,0
3.109624147415161,1,0
3.2105519771575928,1,0
3.310699939727783,1,0
3.410703182220459,1,0
3.5106661319732666,1,0
3.6111299991607666,1,0
3.712264060974121,1,0
3.8111772537231445,1,0
3.91188907623291,1,0
3.999551296234131,1,0
4.1011292934417725,1,0
4.200567007064819,1,0
4.290374040603638,0,0
4.391391277313232,0,0
4.490119218826294,0,0
4.59101414680481,0,0
4.6911232471466064,0,0
4.79092812538147,0,0
4.869636058807373,1,0
4.970547199249268,1,0
5.070723056793213,1,0
5.1705162525177,1,0
5.272020101547241,1,0
5.370503187179565,1,0
5.470759153366089,1,0
5.5709240436553955,1,0
5.670815944671631,1,0
5.77064323425293,1,0
5.8710150718688965,1,0
5.970511198043823,1,0
6.070781230926514,1,0
6.08980131149292,1,0
6.191012144088745,1,0
6.290379047393799,1,0
6.39075493812561,1,0
6.490762233734131,1,0
6.509748220443726,1,0
6.550126075744629,1,0
6.650629043579102,1,0
6.750806093215942,1,0
6.850707292556763,1,0
6.950766086578369,1,0
7.050629138946533,1,0
7.150750160217285,1,0
7.250630140304565,1,0
7.350751161575317,1,0
7.450632095336914,1,0
7.550760269165039,1,0
7.651259183883667,1,0
7.750878095626831,1,0
7.850557088851929,1,0
7.950762033462524,1,0
8.050634145736694,1,0
8.150627136230469,1,0
8.25051212310791,1,0
8.35077714920044,1,0
8.400123119354248,1,0
8.40962815284729,1,0
8.510938167572021,1,0
8.610701084136963,1,0
8.71226692199707,1,0
8.72001600265503,1,0
8.789921045303345,0,0
8.890628099441528,0,0
8.990886211395264,0,0
9.091013193130493,0,0
9.190922260284424,0,0
9.291632175445557,0,0
9.371262073516846,1,0
9.470922946929932,1,0
9.570827007293701,1,0
9.67101001739502,1,0
9.770762920379639,1,0
9.871017217636108,1,0
9.970893144607544,1,0
10.070894002914429,1,0
10.170939207077026,1,0
10.271002054214478,1,0
10.37079119682312,1,0
10.471008062362671,1,0
10.572510242462158,1,0
10.671051979064941,1,0
10.770920276641846,1,0
10.87105917930603,1,0
