time,can0_ESP_Bremsdruck [Unit_Bar],can0_ESP_Fahrer_bremst []
0.0,11.399999999999999,1
0.02011895179748535,11.100000000000001,1
0.03999805450439453,10.799999999999997,1
0.060127973556518555,10.5,1
0.07939600944519043,10.199999999999996,1
0.10063004493713379,9.600000000000001,1
0.11938023567199707,9.299999999999997,1
0.14013409614562988,9.299999999999997,1
0.16012191772460938,9.0,1
0.18024897575378418,9.0,1
0.20000600814819336,9.0,1
0.21937918663024902,9.0,1
0.23967194557189941,8.100000000000001,1
0.2602541446685791,6.299999999999997,1
0.27987098693847656,4.199999999999996,1
0.3001241683959961,1.1999999999999993,1
0.32000303268432617,0.29999999999999716,1
0.34025001525878906,-0.3000000000000007,1
0.360245943069458,0.0,1
0.37975001335144043,0.0,0
0.400130033493042,0.0,0
0.4201231002807617,0.0,0
0.43962597846984863,0.0,0
0.45925116539001465,0.0,0
0.47950005531311035,0.0,0
0.5008831024169922,0.0,0
0.5201189517974854,0.0,0
0.5401310920715332,0.0,0
0.5601260662078857,0.0,0
0.5802490711212158,0.0,0
0.6001269817352295,0.0,0
0.6192519664764404,0.0,0
0.6398749351501465,0.0,0
0.6602468490600586,0.0,0
0.6802489757537842,0.0,0
0.7005071640014648,0.0,0
0.7194368839263916,0.0,0
0.7401330471038818,0.0,0
0.7601330280303955,0.0,0
0.7797501087188721,0.0,0
0.8002579212188721,0.0,0
0.8193759918212891,0.0,0
0.8401389122009277,0.0,0
0.8602490425109863,0.0,0
0.8801388740539551,0.0,0
0.9003770351409912,0.0,0
0.920011043548584,0.0,0
0.9393761157989502,0.0,0
0.9591221809387207,0.29999999999999716,0
0.9801208972930908,0.0,0
1.0001280307769775,0.0,0
1.0201261043548584,0.0,0
1.039504051208496,0.0,0
1.0597560405731201,0.0,0
1.0800061225891113,0.0,0
1.1001300811767578,0.0,0
1.1200060844421387,0.0,0
1.1395759582519531,0.0,0
1.1600010395050049,0.0,0
1.180124044418335,0.0,0
1.2000060081481934,0.0,0
1.2205009460449219,0.0,0
1.2396268844604492,0.0,0
1.2601280212402344,0.29999999999999716,0
1.2800049781799316,0.0,0
1.3002331256866455,0.29999999999999716,0
1.3196320533752441,0.29999999999999716,0
1.3396270275115967,0.0,0
1.3600060939788818,0.0,0
1.379127025604248,0.0,0
1.400001049041748,0.0,0
1.4196279048919678,0.0,0
1.4398791790008545,0.0,0
1.460129976272583,0.0,0
1.4798810482025146,0.0,0
1.500126838684082,0.0,0
1.519996166229248,0.0,0
1.5398728847503662,0.0,0
1.5591320991516113,0.0,0
