time,can1_ND_Heading [Unit_DegreOfArc]
0.0,4.3
0.10017013549804688,4.3
0.19998812675476074,4.3
0.3001101016998291,4.3
0.4000399112701416,4.3
0.5000262260437012,4.3
0.6002881526947021,4.3
0.7000110149383545,4.3
0.800123929977417,4.3
0.9001221656799316,4.3
1.000150203704834,1.9000000000000001
1.1001091003417969,1.9000000000000001
1.2000219821929932,1.9000000000000001
1.3002891540527344,1.9000000000000001
1.4001128673553467,1.9000000000000001
1.5001139640808105,1.9000000000000001
1.6001129150390625,1.9000000000000001
1.70011305809021,1.9000000000000001
1.8001160621643066,1.9000000000000001
1.9001750946044922,1.9000000000000001
2.0001611709594727,35.6
2.100425958633423,35.6
2.2001190185546875,35.6
2.3001160621643066,35.6
2.400175094604492,35.6
2.5001442432403564,35.6
2.60024094581604,35.6
2.700118064880371,35.6
2.8001139163970947,35.6
2.9004039764404297,35.6
3.000262975692749,32.1
3.100255012512207,32.1
3.2001149654388428,32.1
3.3001720905303955,32.1
3.400236129760742,32.1
3.500114917755127,32.1
3.6003611087799072,32.1
3.7002391815185547,32.1
3.8002870082855225,32.1
3.9002721309661865,32.1
4.000258207321167,29.900000000000002
4.1002490520477295,29.900000000000002
4.200736045837402,29.900000000000002
4.300250291824341,29.900000000000002
4.4002602100372314,29.900000000000002
4.500256061553955,29.900000000000002
4.600435018539429,29.900000000000002
4.700407028198242,29.900000000000002
4.8002800941467285,29.900000000000002
4.901252269744873,29.900000000000002
5.0002360343933105,30.8
5.100781202316284,30.8
5.201117992401123,30.8
5.301119089126587,30.8
5.40086817741394,30.8
5.500629186630249,30.8
5.6004979610443115,30.8
5.700555086135864,30.8
5.800501108169556,30.8
5.900375127792358,30.8
6.000380039215088,11.8
6.101125955581665,11.8
6.2004969120025635,11.8
6.300364017486572,11.8
6.400367259979248,11.8
6.50037407875061,11.8
6.600369930267334,11.8
6.700416088104248,11.8
6.8003761768341064,11.8
6.9003682136535645,11.8
7.000378847122192,10.4
7.100739240646362,10.4
7.2004969120025635,10.4
7.300619125366211,10.4
7.400493144989014,10.4
7.500495195388794,10.4
7.600500106811523,10.4
7.700368165969849,10.4
7.8005030155181885,10.4
7.900500059127808,10.4
8.00049614906311,7.9
8.10050630569458,7.9
8.200496196746826,7.9
8.300540924072266,7.9
8.400549173355103,7.9
8.50049114227295,7.9
8.600490093231201,7.9
8.700489044189453,7.9
8.800501108169556,7.9
8.900551080703735,7.9
9.000506162643433,7.800000000000001
9.100611209869385,7.800000000000001
9.200614929199219,7.800000000000001
9.300487995147705,7.800000000000001
9.400495290756226,7.800000000000001
9.500623226165771,7.800000000000001
9.600614070892334,7.800000000000001
9.700738191604614,7.800000000000001
9.800625085830688,7.800000000000001
9.901048183441162,7.800000000000001
10.000745058059692,8.8
10.101298093795776,8.8
10.200745105743408,8.8
10.301490068435669,8.8
10.400780200958252,8.8
10.500624895095825,8.8
10.60065221786499,8.8
10.700668096542358,8.8
10.800752878189087,8.8
10.90063214302063,8.8
11.000614881515503,23.200000000000003
11.100673198699951,23.200000000000003
11.20073914527893,23.200000000000003
11.300623178482056,23.200000000000003
11.400625944137573,23.200000000000003
11.500928163528442,23.200000000000003
11.60061502456665,23.200000000000003
11.700783252716064,23.200000000000003
11.800739049911499,23.200000000000003
11.900749206542969,23.200000000000003
12.00075387954712,21.400000000000002
12.10073709487915,21.400000000000002
12.200757026672363,21.400000000000002
12.300790071487427,21.400000000000002
12.400752305984497,21.400000000000002
12.500752210617065,21.400000000000002
12.600754022598267,21.400000000000002
12.701130151748657,21.400000000000002
12.800755023956299,21.400000000000002
12.900751113891602,21.400000000000002
13.00075912475586,22.0
13.101036071777344,22.0
13.20075511932373,22.0
13.300782203674316,22.0
13.40086817741394,22.0
13.500868082046509,22.0
13.600741147994995,22.0
13.700747013092041,22.0
13.80087924003601,22.0
13.900902032852173,22.0
14.000863075256348,21.8
14.100872993469238,21.8
14.200923204421997,21.8
14.300912141799927,21.8
14.400906085968018,21.8
14.50086498260498,21.8
14.600877046585083,21.8
14.701111078262329,21.8
