time,can1_FS_Temp_Sensor [Unit_DegreCelsi],can1_FS_Luftfeuchte_rel [Unit_PerCent]
0.0,13.0,71.0
0.4975917339324951,13.0,69.0
0.9999659061431885,13.0,69.0
1.4970848560333252,13.0,69.0
1.9999499320983887,13.0,68.0
2.4972128868103027,13.0,68.0
3.0003280639648438,13.0,68.0
3.49783992767334,13.0,69.0
4.000079870223999,13.0,69.0
4.497707843780518,13.0,69.0
5.00046181678772,13.0,69.0
5.497195720672607,13.0,71.0
6.000211000442505,13.0,71.0
6.497457981109619,13.0,71.0
7.0004589557647705,13.0,73.0
7.497346878051758,13.0,73.0
8.00068211555481,13.0,73.0
8.497337818145752,13.0,74.0
9.00046181678772,13.0,74.0
9.49834394454956,13.0,74.0
10.00033688545227,13.0,74.5
10.497824907302856,13.0,74.5
11.00071406364441,13.0,74.5
11.497206926345825,13.0,75.0
12.000354766845703,13.0,75.0
12.497204065322876,13.0,75.0
13.000418901443481,13.0,75.5
13.497201919555664,13.0,75.5
14.000341892242432,13.0,75.5
14.497205972671509,13.0,75.5
15.000212907791138,13.0,75.5
15.498204946517944,13.0,75.5
16.00120782852173,13.0,74.0
16.497190952301025,13.0,74.0
17.000581979751587,13.0,74.0
17.4980890750885,13.0,73.0
18.001078128814697,13.0,73.0
18.497215032577515,13.0,73.0
19.001078844070435,13.0,72.5
19.498081922531128,13.0,72.5
20.000101804733276,13.0,72.5
20.498080015182495,13.0,72.0
21.001089811325073,13.0,72.0
21.498350858688354,13.0,72.0
22.000334978103638,13.0,71.0
22.49812388420105,13.0,71.0
23.001206159591675,13.0,71.0
23.498095989227295,13.0,69.0
24.000960111618042,13.0,69.0
24.498332977294922,13.0,69.0
25.0009548664093,13.0,69.0
25.49833083152771,13.0,69.0
26.000833749771118,13.0,69.0
26.497833013534546,13.0,69.0
27.000579833984375,13.0,69.0
27.498519897460938,13.0,69.0
28.001346826553345,13.0,69.0
28.498113870620728,13.0,69.0
29.00132989883423,13.0,69.0
29.4983389377594,13.0,69.5
30.001333951950073,13.0,69.5
30.499446153640747,13.0,69.5
31.001224994659424,13.0,69.0
31.499822854995728,13.0,69.0
32.00208497047424,13.0,69.0
32.4984610080719,13.0,69.0
33.00171709060669,13.0,69.0
