time,can1_FS_Temp_Sensor [Unit_DegreCelsi],can1_FS_Luftfeuchte_rel [Unit_PerCent]
33.49858593940735,13.0,69.0
34.002328872680664,13.0,70.0
34.49858379364014,13.0,70.0
35.00170874595642,13.0,70.0
35.498461961746216,13.0,70.0
36.00170707702637,13.0,71.0
36.498711824417114,13.0,71.0
37.001468896865845,13.0,71.0
37.49945402145386,13.0,70.5
38.00170707702637,13.0,70.5
38.49882984161377,13.0,70.5
39.00196576118469,13.0,70.5
39.499955892562866,13.0,70.5
40.00183296203613,13.0,70.5
40.49908208847046,13.0,70.5
41.0019588470459,13.0,70.5
41.499703884124756,13.0,70.5
42.002081871032715,13.0,71.0
42.49958896636963,13.0,71.0
43.00183582305908,13.0,71.0
43.49896192550659,13.0,71.5
44.001707792282104,13.0,71.5
44.499764919281006,13.0,71.5
45.00247573852539,13.0,72.0
45.5003547668457,13.0,72.0
46.0029559135437,13.0,72.0
46.4992299079895,13.0,71.5
47.002707958221436,13.0,71.5
47.49995994567871,13.0,71.5
48.003267765045166,13.0,71.0
48.50007510185242,13.0,71.0
49.0025908946991,13.0,71.0
49.49933910369873,13.0,71.0
50.0040168762207,13.0,71.0
50.50009608268738,13.0,71.0
51.0023398399353,13.0,71.0
51.50026082992554,13.0,71.0
52.00296092033386,13.0,71.0
52.499836921691895,13.0,71.5
53.00308299064636,13.0,71.5
53.49970579147339,13.0,71.5
54.002965688705444,13.0,71.5
54.49995708465576,13.0,71.5
55.00283885002136,13.0,71.5
55.49970579147339,13.0,71.0
56.00259280204773,13.0,71.0
56.500465869903564,13.0,71.0
57.002588987350464,13.0,70.5
57.500940799713135,13.0,70.5
58.00271391868591,13.0,70.5
58.500380992889404,13.0,70.0
59.00297403335571,13.0,70.0
59.50082802772522,13.0,70.0
60.002959966659546,13.0,69.0
60.50069999694824,13.0,69.0
61.0029981136322,13.0,69.0
61.50082492828369,13.0,69.0
62.003023862838745,13.0,68.5
62.500826835632324,13.0,68.5
63.00309371948242,13.0,68.5
63.50137495994568,13.0,68.5
64.00310897827148,13.0,68.5
64.50107288360596,13.0,68.5
65.00320792198181,13.0,68.5
65.50125193595886,13.0,68.5
66.00433397293091,13.0,68.5
66.50108981132507,13.0,68.5
67.00334191322327,13.0,68.5
67.50133991241455,13.0,68.5
68.00336480140686,13.0,69.0
68.50120306015015,13.0,69.0
69.00346994400024,13.0,69.0
69.50184774398804,13.0,70.0
70.003488779068,13.0,70.0
70.50137591362,13.0,70.0
71.003751039505,13.0,71.5
71.50158190727234,13.0,71.5
72.00471091270447,13.0,71.5
72.5016028881073,13.0,72.5
73.00376296043396,13.0,72.5
73.50170993804932,13.0,72.5
74.00370287895203,13.0,73.5
74.50158905982971,13.0,73.5
75.00483393669128,13.0,73.5
75.50208377838135,13.0,73.5
76.00383591651917,13.0,73.5
76.5018310546875,13.0,73.5
77.00508880615234,13.0,74.0
77.50195693969727,13.0,74.0
78.00508284568787,13.0,74.0
78.50185084342957,13.0,74.0
79.00459289550781,13.0,74.0
79.50211477279663,13.0,74.0
80.0045998096466,13.0,73.5
80.50195693969727,13.0,73.5
81.00508093833923,13.0,73.5
81.50257182121277,13.0,72.0
82.00420093536377,13.0,72.0
82.50220394134521,13.0,72.0
83.00445914268494,13.0,71.5
83.50221300125122,13.0,71.5
84.00437307357788,13.0,71.5
84.50220608711243,13.0,71.0
85.00451374053955,13.0,71.0
85.50232982635498,13.0,71.0
86.00462174415588,13.0,71.0
86.5024049282074,13.0,71.0
87.00463700294495,13.0,71.0
87.50282406806946,13.0,71.0
88.00462985038757,13.0,70.5
88.50257396697998,13.0,70.5
89.00488781929016,13.0,70.5
89.5017077922821,13.0,70.5
90.00534391403198,13.0,70.5
90.50221705436707,13.0,70.5
91.0054578781128,13.0,70.0
91.50262570381165,13.0,70.0
92.00482988357544,13.0,70.0
92.5030107498169,13.0,70.5
93.00620603561401,13.0,70.5
93.50333905220032,13.0,70.5
94.00545692443848,13.0,70.0
94.50371479988098,13.0,70.0
95.00585675239563,13.0,70.0
95.50395083427429,13.0,70.0
96.00627493858337,13.0,70.0
96.50411081314087,13.0,70.0
97.00608992576599,13.0,70.0
97.50357580184937,13.0,70.0
98.00621485710144,13.0,70.0
98.50373578071594,12.5,69.5
99.00734806060791,12.5,69.5
99.50550413131714,12.5,69.5
100.00597882270813,12.5,68.0
100.50449895858765,12.5,68.0
101.00620794296265,12.5,68.0
101.50408983230591,12.5,68.0
102.00612092018127,12.5,68.0
102.50394892692566,12.5,68.0
103.00695586204529,12.5,68.0
103.50382280349731,12.5,68.0
104.00638484954834,12.5,68.0
104.50345873832703,12.5,68.0
105.00672006607056,12.5,68.0
105.5044858455658,12.5,68.0
106.00671601295471,12.5,68.0
106.50338888168335,12.5,68.0
107.00651693344116,12.5,68.0
107.50296187400818,12.5,69.5
108.00696682929993,12.5,69.5
108.50407099723816,12.5,69.5
109.00696897506714,12.5,69.5
109.50370001792908,12.5,69.5
110.00708389282227,12.5,69.5
110.50346493721008,12.5,69.0
111.0068371295929,12.5,69.0
111.50349497795105,12.5,69.0
112.00609278678894,12.5,69.5
112.50419902801514,12.5,69.5
113.00672602653503,12.5,69.5
113.50358986854553,12.5,70.5
114.0079550743103,12.5,70.5
114.50470209121704,12.5,70.5
115.00696086883545,12.5,71.5
115.50523281097412,12.5,71.5
116.00683975219727,12.5,71.5
116.5038857460022,12.5,72.0
117.00709104537964,12.5,72.0
117.50438404083252,12.5,72.0
118.00695991516113,12.5,71.0
118.5039598941803,12.5,71.0
119.00708794593811,12.5,71.0
119.50411605834961,12.5,71.0
120.00708484649658,12.5,70.0
120.50413703918457,12.5,70.0
121.00709199905396,12.5,70.0
121.5039529800415,12.5,69.5
122.00709414482117,12.5,69.5
122.50498795509338,12.5,69.5
123.00696206092834,12.5,69.0
123.50512790679932,12.5,69.0
124.0069649219513,12.5,69.0
124.50398898124695,12.5,68.0
125.0069808959961,12.5,68.0
125.50501894950867,12.5,68.0
126.00696682929993,12.5,69.0
126.50494909286499,12.5,69.0
127.00682973861694,12.5,69.0
127.50482702255249,12.5,70.5
128.0068359375,12.5,70.5
128.50500202178955,12.5,70.5
129.00683403015137,12.5,71.0
129.50483989715576,12.5,71.0
130.00673007965088,12.5,71.0
130.5048930644989,12.5,70.5
131.00783395767212,12.5,70.5
131.50495076179504,12.5,70.5
132.00783586502075,12.5,70.0
132.50470685958862,12.5,70.0
133.0079550743103,12.5,70.0
133.5047550201416,12.5,69.5
134.0077269077301,12.5,69.5
134.50532579421997,12.5,69.5
135.00772094726562,12.5,68.5
135.50573182106018,12.5,68.5
136.00797176361084,12.5,68.5
136.50458693504333,12.5,67.5
137.00758695602417,12.5,67.5
137.50524806976318,12.5,67.5
138.00759196281433,12.5,68.5
138.50471305847168,12.5,68.5
139.00796794891357,12.5,68.5
139.50562000274658,12.5,68.0
140.00820899009705,12.5,68.0
140.50588178634644,12.5,68.0
141.00796389579773,12.5,68.0
141.50594902038574,12.5,68.0
142.00821375846863,12.5,68.0
142.50588488578796,12.5,68.0
143.0085849761963,12.5,68.0
143.50595211982727,12.5,68.0
144.00845980644226,12.5,68.5
144.50646686553955,12.5,68.5
145.00821208953857,12.5,68.5
145.50648403167725,12.5,68.5
146.00833177566528,12.5,68.5
146.50620293617249,12.5,68.5
147.0080919265747,12.5,68.5
147.5066158771515,12.5,69.5
148.0077199935913,12.5,69.5
148.50574707984924,12.5,69.5
149.00796699523926,12.5,71.5
