time,can1_NP_Altitude [Unit_Meter],can1_ND_UTC [Unit_Secon]
0.0,1924.0,1552155610
0.10014820098876953,1924.0,1552155610
0.20000624656677246,1924.0,1552155610
0.3001291751861572,1924.0,1552155610
0.40000009536743164,1924.0,1552155610
0.500129222869873,1924.0,1552155610
0.6002540588378906,1924.0,1552155610
0.7000372409820557,1924.0,1552155610
0.8004422187805176,1924.0,1552155610
0.9001312255859375,1924.0,1552155610
1.0001311302185059,1924.0,1552155611
1.1001343727111816,1924.0,1552155611
1.2001700401306152,1924.0,1552155611
1.300262212753296,1924.0,1552155611
1.4001290798187256,1924.0,1552155611
1.5001342296600342,1924.0,1552155611
1.6001763343811035,1924.0,1552155611
1.7001652717590332,1924.0,1552155611
1.8001322746276855,1924.0,1552155611
1.9002859592437744,1924.0,1552155611
2.0001332759857178,1922.0,1552155612
2.1005771160125732,1922.0,1552155612
2.2001280784606934,1922.0,1552155612
2.3001761436462402,1922.0,1552155612
2.400139093399048,1922.0,1552155612
2.5001370906829834,1922.0,1552155612
2.600288152694702,1922.0,1552155612
2.700256109237671,1922.0,1552155612
2.800124168395996,1922.0,1552155612
2.9004223346710205,1922.0,1552155612
3.000265121459961,1924.0,1552155613
3.100386142730713,1924.0,1552155613
3.200256109237671,1924.0,1552155613
3.3003132343292236,1924.0,1552155613
3.4002532958984375,1924.0,1552155613
3.5001280307769775,1924.0,1552155613
3.6003661155700684,1924.0,1552155613
3.7002551555633545,1924.0,1552155613
3.8003079891204834,1924.0,1552155613
3.9002959728240967,1924.0,1552155613
4.0002601146698,1924.0,1552155614
4.100268125534058,1924.0,1552155614
4.200804233551025,1924.0,1552155614
4.3002541065216064,1924.0,1552155614
4.40026330947876,1924.0,1552155614
4.500265121459961,1924.0,1552155614
4.6003851890563965,1924.0,1552155614
4.700427055358887,1924.0,1552155614
4.8002660274505615,1924.0,1552155614
4.9002649784088135,1924.0,1552155614
5.000380277633667,1926.0,1552155615
5.100754261016846,1926.0,1552155615
5.200132131576538,1926.0,1552155615
5.3001322746276855,1926.0,1552155615
5.400878190994263,1926.0,1552155615
5.500636339187622,1926.0,1552155615
5.60050630569458,1926.0,1552155615
5.700541257858276,1926.0,1552155615
5.8006510734558105,1926.0,1552155615
5.900397062301636,1926.0,1552155615
6.000379323959351,1928.0,1552155616
6.10014009475708,1928.0,1552155616
6.200505256652832,1928.0,1552155616
6.300507307052612,1928.0,1552155616
6.400382041931152,1928.0,1552155616
6.500380277633667,1928.0,1552155616
6.600503206253052,1928.0,1552155616
6.700388193130493,1928.0,1552155616
6.800503253936768,1928.0,1552155616
6.900507211685181,1928.0,1552155616
7.000383138656616,1928.0,1552155617
7.100757122039795,1928.0,1552155617
7.200509309768677,1928.0,1552155617
7.300626993179321,1928.0,1552155617
7.400504112243652,1928.0,1552155617
7.5005412101745605,1928.0,1552155617
7.600509405136108,1928.0,1552155617
7.700378179550171,1928.0,1552155617
7.800516128540039,1928.0,1552155617
7.900503158569336,1928.0,1552155617
8.000501155853271,1928.0,1552155618
8.10051417350769,1928.0,1552155618
8.200506210327148,1928.0,1552155618
8.300556182861328,1928.0,1552155618
8.400544166564941,1928.0,1552155618
8.500505208969116,1928.0,1552155618
8.600520133972168,1928.0,1552155618
8.700506210327148,1928.0,1552155618
8.800504207611084,1928.0,1552155618
8.900571346282959,1928.0,1552155618
9.00054931640625,1928.0,1552155619
9.100633144378662,1928.0,1552155619
9.200627088546753,1928.0,1552155619
9.30063796043396,1928.0,1552155619
9.40050721168518,1928.0,1552155619
9.500757217407227,1928.0,1552155619
9.600626230239868,1928.0,1552155619
9.699750185012817,1928.0,1552155619
9.800692081451416,1928.0,1552155619
9.901040315628052,1928.0,1552155619
10.000640153884888,1928.0,1552155620
10.100313186645508,1928.0,1552155620
10.200756072998047,1928.0,1552155620
10.300502061843872,1928.0,1552155620
10.400630235671997,1928.0,1552155620
10.500692129135132,1928.0,1552155620
10.600749254226685,1928.0,1552155620
10.700812101364136,1928.0,1552155620
10.800889253616333,1928.0,1552155620
10.900637149810791,1928.0,1552155620
11.000633239746094,1928.0,1552155621
11.100758075714111,1928.0,1552155621
11.200804233551025,1928.0,1552155621
11.300632238388062,1928.0,1552155621
11.400758028030396,1928.0,1552155621
11.50090217590332,1928.0,1552155621
11.600758075714111,1928.0,1552155621
11.700757026672363,1928.0,1552155621
11.800754308700562,1928.0,1552155621
11.900758028030396,1928.0,1552155621
12.000765323638916,1928.0,1552155622
12.100812196731567,1928.0,1552155622
12.200759172439575,1928.0,1552155622
12.300812244415283,1928.0,1552155622
12.400780200958252,1928.0,1552155622
12.500756025314331,1928.0,1552155622
12.600765228271484,1928.0,1552155622
12.701271057128906,1928.0,1552155622
12.80075216293335,1928.0,1552155622
12.90076231956482,1928.0,1552155622
13.000757217407227,1930.0,1552155623
13.100895166397095,1930.0,1552155623
13.20075511932373,1930.0,1552155623
13.300796270370483,1930.0,1552155623
13.400880336761475,1930.0,1552155623
13.500880241394043,1930.0,1552155623
13.60075330734253,1930.0,1552155623
13.70088815689087,1930.0,1552155623
13.800889253616333,1930.0,1552155623
13.900874137878418,1930.0,1552155623
14.000913381576538,1930.0,1552155624
14.100882291793823,1930.0,1552155624
14.200879335403442,1930.0,1552155624
14.300884008407593,1930.0,1552155624
14.400919198989868,1930.0,1552155624
14.500935316085815,1930.0,1552155624
14.600886106491089,1930.0,1552155624
14.701134204864502,1930.0,1552155624
14.800935983657837,1930.0,1552155624
14.900890111923218,1930.0,1552155624
15.000933170318604,1932.0,1552155625
