time,can0_Wischer_vorne_aktiv [],can0_BH_Fernlicht [],can0_BH_Blinker_li [],can0_BH_Blinker_re [],can0_BCM1_Aussen_Temp_ungef [Unit_DegreCelsi],can0_BH_Lichthupe []
0.0,0,0,1,0,9.0,0
0.10000491142272949,0,0,1,0,9.0,0
0.19986391067504883,0,0,1,0,9.0,0
0.29975008964538574,0,0,1,0,9.0,0
0.4001200199127197,0,0,1,0,9.0,0
0.49950194358825684,0,0,1,0,9.0,0
0.5994892120361328,0,0,1,0,9.0,0
0.7002441883087158,0,0,1,0,9.0,0
0.7992541790008545,0,0,1,0,9.0,0
0.899245023727417,0,0,1,0,9.0,0
0.999373197555542,0,0,1,0,9.0,0
1.0992448329925537,0,0,1,0,9.0,0
1.1992459297180176,0,0,1,0,9.0,0
1.299375057220459,0,0,1,0,9.0,0
1.3992409706115723,0,0,1,0,9.0,0
1.4992401599884033,0,0,1,0,9.0,0
1.5992391109466553,0,0,1,0,9.0,0
1.699246883392334,0,0,1,0,9.0,0
1.7992432117462158,0,0,1,0,9.0,0
1.8993721008300781,0,0,1,0,9.0,0
1.9992420673370361,0,0,1,0,9.0,0
2.098513126373291,0,0,1,0,9.0,0
2.1982500553131104,0,0,1,0,9.0,0
2.298248052597046,0,0,1,0,9.0,0
2.3982479572296143,0,0,1,0,9.0,0
2.498249053955078,0,0,1,0,9.0,0
2.5983729362487793,0,0,1,0,9.0,0
2.698378086090088,0,0,1,0,9.0,0
2.79825496673584,0,0,1,0,9.0,0
2.898524045944214,0,0,1,0,9.0,0
2.998373031616211,0,0,1,0,9.0,0
3.097503185272217,0,0,1,0,9.0,0
3.1973719596862793,0,0,1,0,9.0,0
3.297367811203003,0,0,1,0,9.0,0
3.3973798751831055,0,0,1,0,9.0,0
3.4973719120025635,0,0,1,0,9.0,0
3.59748911857605,0,0,1,0,9.0,0
3.697371006011963,0,0,1,0,9.0,0
3.7973709106445312,0,0,1,0,9.0,0
3.897374153137207,0,0,1,0,9.0,0
3.971864938735962,0,0,1,0,9.0,0
3.997364044189453,0,0,1,0,9.0,0
4.097373008728027,0,0,1,0,9.0,0
4.196922063827515,0,0,1,0,9.0,0
4.296374082565308,0,0,1,0,9.0,0
4.396381139755249,0,0,1,0,9.0,0
4.496380090713501,0,0,1,0,9.0,0
4.596494913101196,0,0,1,0,9.0,0
4.696544170379639,0,0,1,0,9.0,0
4.762376070022583,0,0,0,0,9.0,0
4.796373128890991,0,0,0,0,9.0,0
4.895416021347046,0,0,0,0,9.0,0
4.9964940547943115,0,0,0,0,9.0,0
5.095901012420654,0,0,0,0,9.0,0
5.195156097412109,0,0,0,0,9.0,0
5.295119047164917,0,0,0,0,9.0,0
5.394989967346191,0,0,0,0,9.0,0
5.494755029678345,0,0,0,0,9.0,0
5.594625234603882,0,0,0,0,9.0,0
5.694487810134888,0,0,0,0,9.0,0
5.794547080993652,0,0,0,0,9.0,0
5.894464015960693,0,0,0,0,9.0,0
5.9942522048950195,0,0,0,0,9.0,0
6.094245910644531,0,0,0,0,9.0,0
6.19399094581604,0,0,0,0,9.0,0
6.293987989425659,0,0,0,0,9.0,0
6.393864154815674,0,0,0,0,9.0,0
6.493741989135742,0,0,0,0,9.0,0
6.593616008758545,0,0,0,0,9.0,0
6.693612813949585,0,0,0,0,9.0,0
6.7934889793396,0,0,0,0,9.0,0
6.893365144729614,0,0,0,0,9.0,0
6.993641138076782,0,0,0,0,9.0,0
7.0932440757751465,0,0,0,0,9.0,0
7.193122148513794,0,0,0,0,9.0,0
7.293171167373657,0,0,0,0,9.0,0
7.393115043640137,0,0,0,0,9.0,0
7.492985963821411,0,0,0,0,9.0,0
