time,can0_ESP_VL_Fahrtrichtung [],can0_ESP_VR_Fahrtrichtung [],can0_ESP_HL_Fahrtrichtung [],can0_ESP_HR_Fahrtrichtung []
0.0,3,3,0,0
0.020006179809570312,3,3,0,0
0.040374040603637695,3,3,0,0
0.060624122619628906,3,3,0,0
0.08036398887634277,3,3,0,0
0.09999513626098633,3,3,0,0
0.1200399398803711,3,3,0,0
0.140639066696167,3,3,0,0
0.1602458953857422,3,3,0,0
0.180495023727417,3,3,0,0
0.19998788833618164,3,3,0,0
0.2199878692626953,3,3,0,0
0.24036598205566406,3,3,0,0
0.2599968910217285,3,3,0,0
0.2799868583679199,3,3,0,0
0.3001210689544678,3,3,0,0
0.32024288177490234,3,3,0,0
0.34049415588378906,3,3,0,0
0.3599998950958252,3,3,0,0
0.37999582290649414,3,3,0,0
0.3999929428100586,3,3,0,0
0.41999101638793945,3,3,0,0
0.4413611888885498,3,3,0,0
0.45999884605407715,3,3,0,0
0.479992151260376,3,3,0,0
0.4999990463256836,3,3,0,0
0.5199859142303467,3,3,0,0
0.5404961109161377,3,3,0,0
0.5604968070983887,3,3,0,0
0.5799880027770996,3,3,0,0
0.6000590324401855,3,3,0,0
0.620114803314209,3,3,0,0
0.640610933303833,3,3,0,0
0.6602418422698975,3,3,0,0
0.6806120872497559,3,3,0,0
0.69999098777771,3,3,0,0
0.71999192237854,3,3,0,0
0.7404890060424805,3,3,0,0
0.7599978446960449,3,3,0,0
0.7806861400604248,3,3,0,0
0.8001179695129395,3,3,0,0
0.8200068473815918,3,3,0,0
0.8404929637908936,3,3,0,0
0.8599979877471924,3,3,0,0
0.8806259632110596,3,3,0,0
0.9001169204711914,3,3,0,0
0.9199988842010498,3,3,0,0
0.9404919147491455,3,3,0,0
0.9608869552612305,3,3,0,0
0.9799940586090088,3,3,0,0
0.9999990463256836,3,3,0,0
1.0199930667877197,3,3,0,0
1.0405020713806152,3,3,0,0
1.0599291324615479,3,3,0,0
1.0803618431091309,3,3,0,0
1.1000289916992188,3,3,0,0
1.1199979782104492,3,3,0,0
1.1405019760131836,3,3,0,0
1.1599957942962646,3,3,0,0
1.1799988746643066,3,3,0,0
1.2003650665283203,3,3,0,0
1.219998836517334,3,3,0,0
1.2404940128326416,3,3,0,0
1.2599999904632568,3,3,0,0
1.2799880504608154,3,3,0,0
1.3000099658966064,3,3,0,0
1.3199999332427979,3,3,0,0
1.3406178951263428,3,3,0,0
1.3601222038269043,3,3,0,0
1.3799889087677002,3,3,0,0
1.4000499248504639,3,3,0,0
1.4200408458709717,3,3,0,0
1.440493106842041,3,3,0,0
1.4599969387054443,3,3,0,0
1.47999906539917,3,3,0,0
1.5005040168762207,3,3,0,0
1.5200090408325195,3,3,0,0
1.540492057800293,3,3,0,0
1.559993028640747,3,3,0,0
1.5799930095672607,3,3,0,0
1.6000010967254639,3,3,0,0
1.6200430393218994,3,3,0,0
1.6404850482940674,3,3,0,0
1.660377025604248,3,3,0,0
1.6799941062927246,3,3,0,0
1.699984073638916,3,3,0,0
1.7201578617095947,3,3,0,0
1.7404921054840088,3,3,0,0
1.7604990005493164,3,3,0,0
1.7799890041351318,3,3,0,0
1.8001148700714111,3,3,0,0
1.8199989795684814,3,3,0,0
1.840494155883789,3,3,0,0
1.8611078262329102,3,3,0,0
1.8799879550933838,3,3,0,0
1.8999958038330078,3,3,0,0
1.919990062713623,3,3,0,0
1.9406211376190186,3,3,0,0
1.9600520133972168,3,3,0,0
1.9799931049346924,3,3,0,0
2.0001158714294434,3,3,0,0
2.019990921020508,3,3,0,0
2.040492057800293,3,3,0,0
2.0599968433380127,3,3,0,0
2.080861806869507,3,3,0,0
2.0999889373779297,3,3,0,0
2.1199898719787598,3,3,0,0
2.1407558917999268,3,3,0,0
2.1600098609924316,3,3,0,0
2.1801230907440186,3,3,0,0
2.200507164001465,3,3,0,0
2.2201180458068848,3,3,0,0
2.240489959716797,3,3,0,0
2.260374069213867,3,3,0,0
2.280113935470581,3,3,0,0
2.3005077838897705,3,3,0,0
2.3203718662261963,3,3,0,0
2.3404910564422607,3,3,0,0
2.3608670234680176,3,3,0,0
2.3802459239959717,3,3,0,0
2.4002418518066406,3,3,0,0
2.4202418327331543,3,3,0,0
2.440493106842041,3,3,0,0
2.460871934890747,3,3,0,0
2.4802448749542236,3,3,0,0
2.500239133834839,3,3,0,0
2.52024507522583,3,3,0,0
2.540489912033081,3,3,0,0
2.5601189136505127,3,3,0,0
2.5801138877868652,3,3,0,0
2.6007490158081055,3,3,0,0
2.6202380657196045,3,3,0,0
2.640615940093994,3,3,0,0
2.6604931354522705,3,3,0,0
2.680868148803711,3,3,0,0
2.7001190185546875,3,3,0,0
2.7201168537139893,3,3,0,0
2.740624189376831,3,3,0,0
2.7601239681243896,3,3,0,0
2.780247926712036,3,3,0,0
2.8002400398254395,3,3,0,0
2.8201231956481934,3,3,0,0
2.8404998779296875,3,3,0,0
2.860166072845459,3,3,0,0
2.8799102306365967,3,3,0,0
2.90067195892334,3,3,0,0
2.9202868938446045,3,3,0,0
2.9407711029052734,3,3,0,0
2.9601149559020996,3,3,0,0
2.980236053466797,3,3,0,0
3.0002830028533936,3,3,0,0
3.0201210975646973,3,3,0,0
3.0406219959259033,3,3,0,0
3.0601210594177246,3,3,0,0
3.0804989337921143,3,3,0,0
3.100616931915283,3,3,0,0
3.120116949081421,3,3,0,0
3.1407389640808105,3,3,0,0
3.160166025161743,3,3,0,0
3.1802430152893066,3,3,0,0
3.2007360458374023,3,3,0,0
3.2202401161193848,3,3,0,0
3.240612030029297,3,3,0,0
3.2601211071014404,3,3,0,0
3.2803709506988525,3,3,0,0
3.300107955932617,3,3,0,0
3.3202438354492188,3,3,0,0
3.3406999111175537,3,3,0,0
3.360131025314331,3,3,0,0
3.380870819091797,3,3,0,0
3.400367021560669,3,3,0,0
3.4201159477233887,3,3,0,0
3.440614938735962,3,3,0,0
3.4601237773895264,3,3,0,0
3.4802439212799072,3,3,0,0
3.5001189708709717,3,3,0,0
3.5202600955963135,3,3,0,0
3.540623188018799,3,3,0,0
3.5607638359069824,3,3,0,0
3.5802438259124756,3,3,0,0
3.6003661155700684,3,3,0,0
3.620126962661743,3,3,0,0
3.640753984451294,3,3,0,0
3.6608691215515137,3,3,0,0
3.680241823196411,3,3,0,0
3.700244903564453,3,3,0,0
3.7201199531555176,3,3,0,0
3.740628957748413,3,3,0,0
3.760246992111206,3,3,0,0
3.7801270484924316,3,3,0,0
3.8004989624023438,3,3,0,0
3.8202438354492188,3,3,0,0
3.8406169414520264,3,3,0,0
3.8602559566497803,3,3,0,0
3.879879951477051,3,3,0,0
3.9001331329345703,3,3,0,0
3.920116901397705,3,3,0,0
3.940614938735962,3,3,0,0
3.9611220359802246,3,3,0,0
3.9801230430603027,3,3,0,0
4.000535011291504,3,3,0,0
4.020246982574463,3,3,0,0
4.040621042251587,3,3,0,0
