time,can0_KBI_Tankfuellstand_Prozent [Unit_PerCent]
0.0,78
0.9999191761016846,78
1.9997689723968506,78
3.000007152557373,78
4.0,78
4.9998838901519775,78
6.000261068344116,78
7.000626087188721,79
8.001760005950928,79
9.001121044158936,79
10.000388145446777,79
11.001383781433105,78
12.002499103546143,78
13.00118088722229,78
14.001503944396973,78
15.001631021499634,78
16.000761032104492,78
17.00176191329956,78
18.001753091812134,78
19.001749992370605,78
20.002375841140747,78
21.002121925354004,78
22.00188112258911,78
23.002004861831665,78
24.001758813858032,78
25.001633882522583,78
26.00212597846985,78
27.001754999160767,78
28.00237798690796,78
29.002379894256592,78
30.002374172210693,78
31.002378940582275,78
32.00163292884827,78
33.00188112258911,78
34.00213408470154,78
35.001636028289795,78
36.0017569065094,78
37.00175404548645,78
38.00274896621704,78
39.002004861831665,78
40.002875089645386,78
41.00287413597107,78
42.00200915336609,78
43.00212287902832,78
44.00225782394409,78
45.00275707244873,78
46.00300216674805,78
47.00227093696594,78
48.003124952316284,78
49.002384185791016,78
50.002386808395386,78
51.00250697135925,78
52.002403020858765,78
53.00290513038635,78
54.00254416465759,78
55.00277304649353,78
56.00263595581055,78
57.0032479763031,78
58.00288200378418,78
59.00313115119934,78
60.00325393676758,78
61.00314211845398,78
62.002882957458496,78
63.00387001037598,78
64.00388097763062,78
65.00387716293335,78
66.00391793251038,78
67.00375294685364,78
68.00375390052795,78
69.00375294685364,78
70.00375390052795,78
71.00376224517822,78
72.00362801551819,78
73.00462985038757,78
74.00425291061401,78
75.0038959980011,78
76.00449991226196,78
77.00401496887207,78
78.00475597381592,78
79.00475215911865,78
80.0048770904541,78
81.00489497184753,78
82.00489497184753,78
83.00450611114502,78
84.00439596176147,78
85.0048758983612,78
86.00500082969666,78
87.0048840045929,78
88.00502181053162,78
89.00525522232056,78
90.00502014160156,78
91.00513195991516,78
92.0055079460144,78
93.00500512123108,78
94.00501298904419,78
95.0060122013092,78
96.00500297546387,78
97.00526213645935,78
98.00500798225403,78
99.00613403320312,78
100.00613594055176,78
101.00637197494507,78
102.0055079460144,78
103.00612092018127,78
104.00613021850586,78
105.00638508796692,78
106.0064959526062,78
107.00627183914185,78
108.00625610351562,78
109.00611615180969,78
110.00638198852539,78
111.00638699531555,78
112.00650906562805,78
113.00663113594055,78
114.00663113594055,78
115.00651478767395,78
116.00649809837341,78
117.00675988197327,78
118.00775194168091,78
119.00675511360168,78
120.00674986839294,78
121.00675201416016,78
122.00676083564758,78
123.00750207901001,78
124.00787401199341,78
125.00700402259827,78
126.00724983215332,78
127.00788402557373,78
128.00812602043152,78
129.00750994682312,78
130.00750517845154,78
131.00769209861755,78
132.00763487815857,78
133.00750303268433,78
134.00800895690918,78
135.0082528591156,78
136.0082609653473,78
137.0085198879242,78
138.0085039138794,78
139.00850200653076,78
140.00863194465637,78
141.0089991092682,78
142.0080177783966,78
143.0090081691742,78
144.00900602340698,78
145.00899982452393,78
146.0089991092682,78
147.00900292396545,78
148.0091278553009,78
149.00913000106812,78
