time,can1_NP_LatDegree [Unit_DegreOfArc],can1_NP_LongDegree [Unit_DegreOfArc],can1_NP_Fix []
0.0,47.437849,9.372544,3
0.10015010833740234,47.437849,9.372544,3
0.20000600814819336,47.437849,9.372544,3
0.30013108253479004,47.437849,9.372544,3
0.39999914169311523,47.437849,9.372544,3
0.5001280307769775,47.437849,9.372544,3
0.600255012512207,47.437849,9.372544,3
0.7000362873077393,47.437849,9.372544,3
0.8004422187805176,47.437849,9.372544,3
0.9001328945159912,47.437849,9.372544,3
1.0001301765441895,47.437881,9.372573,3
1.100132942199707,47.437881,9.372573,3
1.2001721858978271,47.437881,9.372573,3
1.3002641201019287,47.437881,9.372573,3
1.4001281261444092,47.437881,9.372573,3
1.5001320838928223,47.437881,9.372573,3
1.601125955581665,47.437881,9.372573,3
1.700165033340454,47.437881,9.372573,3
1.8011341094970703,47.437881,9.372573,3
1.900285005569458,47.437881,9.372573,3
2.0001320838928223,47.437905,9.372577999999999,3
2.1013801097869873,47.437905,9.372577999999999,3
2.200127124786377,47.437905,9.372577999999999,3
2.300175905227661,47.437905,9.372577999999999,3
2.4001381397247314,47.437905,9.372577999999999,3
2.5001370906829834,47.437905,9.372577999999999,3
2.601379156112671,47.437905,9.372577999999999,3
2.700256109237671,47.437905,9.372577999999999,3
2.8001229763031006,47.437905,9.372577999999999,3
2.900423049926758,47.437905,9.372577999999999,3
3.0002660751342773,47.437923999999995,9.372563,3
3.100386142730713,47.437923999999995,9.372563,3
3.2002551555633545,47.437923999999995,9.372563,3
3.300313949584961,47.437923999999995,9.372563,3
3.400252103805542,47.437923999999995,9.372563,3
3.5001280307769775,47.437923999999995,9.372563,3
3.6003661155700684,47.437923999999995,9.372563,3
3.700253963470459,47.437923999999995,9.372563,3
3.800307035446167,47.437923999999995,9.372563,3
3.900297164916992,47.437923999999995,9.372563,3
4.000259160995483,47.437933,9.372544999999999,3
4.100268125534058,47.437933,9.372544999999999,3
4.200804948806763,47.437933,9.372544999999999,3
4.300255060195923,47.437933,9.372544999999999,3
4.4002649784088135,47.437933,9.372544999999999,3
4.501258134841919,47.437933,9.372544999999999,3
4.60139799118042,47.437933,9.372544999999999,3
4.700428009033203,47.437933,9.372544999999999,3
4.801386117935181,47.437933,9.372544999999999,3
4.900264024734497,47.437933,9.372544999999999,3
5.000381946563721,47.43794,9.372536,3
5.100757122039795,47.43794,9.372536,3
5.201127052307129,47.43794,9.372536,3
5.301007986068726,47.43794,9.372536,3
5.400878190994263,47.43794,9.372536,3
5.500636100769043,47.43794,9.372536,3
5.600510120391846,47.43794,9.372536,3
5.700541973114014,47.43794,9.372536,3
5.800652027130127,47.43794,9.372536,3
5.900397062301636,47.43794,9.372536,3
6.000381946563721,47.437936,9.372541,3
6.101139068603516,47.437936,9.372541,3
6.2005040645599365,47.437936,9.372541,3
6.30050802230835,47.437936,9.372541,3
6.400381088256836,47.437936,9.372541,3
6.5003790855407715,47.437936,9.372541,3
6.600503206253052,47.437936,9.372541,3
6.700388193130493,47.437936,9.372541,3
6.800502061843872,47.437936,9.372541,3
6.900507926940918,47.437936,9.372541,3
7.000381946563721,47.437931,9.372561,3
7.100757122039795,47.437931,9.372561,3
7.200509071350098,47.437931,9.372561,3
7.300626993179321,47.437931,9.372561,3
7.400503158569336,47.437931,9.372561,3
7.5005409717559814,47.437931,9.372561,3
7.60051417350769,47.437931,9.372561,3
7.700378894805908,47.437931,9.372561,3
7.800516128540039,47.437931,9.372561,3
7.900504112243652,47.437931,9.372561,3
8.000502109527588,47.437929,9.372584,3
8.10051417350769,47.437929,9.372584,3
8.200506925582886,47.437929,9.372584,3
8.300556182861328,47.437929,9.372584,3
8.400545120239258,47.437929,9.372584,3
8.500508069992065,47.437929,9.372584,3
8.600522994995117,47.437929,9.372584,3
8.70050597190857,47.437929,9.372584,3
8.8005051612854,47.437929,9.372584,3
8.900569915771484,47.437929,9.372584,3
9.000548839569092,47.437929,9.372598,3
9.10063123703003,47.437929,9.372598,3
9.200627088546753,47.437929,9.372598,3
9.30063796043396,47.437929,9.372598,3
9.400506258010864,47.437929,9.372598,3
9.50075912475586,47.437929,9.372598,3
9.600626945495605,47.437929,9.372598,3
9.700759172439575,47.437929,9.372598,3
9.8006911277771,47.437929,9.372598,3
9.901041030883789,47.437929,9.372598,3
10.000640153884888,47.437926,9.372596999999999,3
10.101747989654541,47.437926,9.372596999999999,3
10.200757026672363,47.437926,9.372596999999999,3
10.30050015449524,47.437926,9.372596999999999,3
10.400629997253418,47.437926,9.372596999999999,3
10.500692129135132,47.437926,9.372596999999999,3
10.600754022598267,47.437926,9.372596999999999,3
10.700815200805664,47.437926,9.372596999999999,3
10.800888061523438,47.437926,9.372596999999999,3
10.900635957717896,47.437926,9.372596999999999,3
11.000633239746094,47.437916,9.37258,3
11.101753234863281,47.437916,9.37258,3
11.200804233551025,47.437916,9.37258,3
11.300632238388062,47.437916,9.37258,3
11.400758028030396,47.437916,9.37258,3
11.500901937484741,47.437916,9.37258,3
11.600760221481323,47.437916,9.37258,3
11.701755046844482,47.437916,9.37258,3
11.800752878189087,47.437916,9.37258,3
11.900760173797607,47.437916,9.37258,3
12.001754999160767,47.437892,9.372551999999999,3
12.101749181747437,47.437892,9.372551999999999,3
12.200759172439575,47.437892,9.372551999999999,3
12.301773071289062,47.437892,9.372551999999999,3
12.400780200958252,47.437892,9.372551999999999,3
12.500758171081543,47.437892,9.372551999999999,3
12.600767135620117,47.437892,9.372551999999999,3
12.70128321647644,47.437892,9.372551999999999,3
